GENEID_9615,GENEID_9606
490207,34
489463,37
489421,38
478757,90
609265,6442
474499,158
475638,175
403783,183
474808,210
491498,212
606901,270
403945,350
486469,355
403588,367
474823,383
479704,435
611064,443
406185,538
474978,594
474180,675
475966,710
474853,717
479348,729
479555,732
100856545,825
489383,917
403468,959
403757,1134
479471,1145
479195,1130
487225,1161
403723,1180
487422,1188
403824,1278
403467,1294
476665,1311
442963,1356
489585,1376
607874,1471
489664,1535
483626,1643
403978,1738
479935,1806
403406,1908
403862,1910
492249,2010
609166,2022
608932,2038
480113,2052
484943,2057
476105,2071
610134,2108
100685858,2153
404015,2158
487924,2169
608713,2175
607277,2176
100855836,2184
403799,2206
610360,2235
480092,2271
481367,2492
484016,2519
484396,2523
403916,2581
403694,2584
474751,2592
478380,2632
476696,2639
483368,2642
609393,2643
403721,2690
403418,2697
480953,2705
483244,2737
481534,2731
486074,8001
609630,2815
611942,2821
474819,2934
442962,2937
474585,2956
100856745,3030
607926,3032
478578,3081
489373,3145
100855521,3155
491447,6910
477791,3257
403707,6448
403975,3383
492194,3423
100505382,3425
478515,3426
403851,3561
483665,3630
493994,3651
483318,3691
485769,182
610004,3718
486732,3736
487743,102723475
403811,3815
100034663,3859
442953,3914
403616,3952
486043,6445
611066,6443
100686967,3978
478320,3990
403626,4023
403761,3757
403450,4128
403438,4233
490008,4261
477019,4292
494002,4436
487873,4547
483624,4607
485174,4647
490344,4653
481226,4668
490965,4669
484137,5727
612440,4693
480618,4763
475393,4860
403698,4864
403780,4867
491733,4935
477858,4942
492123,4952
475446,5053
476975,5095
399653,5158
476493,5184
491139,5193
484000,5191
480857,5256
478139,5257
606755,5310
c(100855871, 607140),5317
487440,5351
490013,5373
403753,5449
491988,5456
478980,5498
478529,5627
403832,5728
403986,5741
403779,5745
611326,5805
487007,5828
486710,5830
479082,5860
476915,5925
403972,5961
483786,6094
491762,6247
488232,6310
610754,6329
612079,6444
478292,6557
478118,6559
403896,6606:6607
478478,6622
403464,6662
490734,6710
475588,6770
444852,24
486355,6948
403630,7051
403444,7054
474355,7056
403566,7137
403536,7172
480688,7248
403968,7253
480167,7276
478593,7372
475378,7389
483028,7498
487796,326
475680,338
480635,642
484774,788
488007,846
474890,1026
480972,1121
485337,1200
481276,1439
493995,2068
475989,2132
100855555,2582
100855818,2760
403718,2798
478755,2820
609180,2978
474630,3295
100856077,3459
403870,3559
100855519,3792
490977,3872
