5141_GENEID,9606_GENEID
3881820,38
3879147,158
3877832,210
3879149,212
3875906,383
3875810,435
3881409,538
3873737,594
3872409,1371
3872670,1376
3875682,1738
3872384,2052
3873498,2071
3878838,2108
3876646,2184
3878670,2235
3875601,2271
3873213,2592
3879400,2632
3876073,2639
3874842,2643
3881209,2731
3878284,2821
3879151,2937
3875816,2956
3876615,3081
5847103,3145
3878663,4292
3875790,4436
3872233,4864
3872557,4942
3878157,5193
3879935,5373
3874470,5498
3880759,5828
3880415,7389
3872597,7498
3881401,642
3878256,788
c(3879326, 5847229),1200
3872684,2068
3879594,2820
3878199,3295
3873083,5048
3877492,4598
3875425,5019
3880431,6647
3875368,6821
3881252,275
3879876,353
3873060,5009
3877159,6609
3875632,6648
3872613,2936
3880546,178
3875148,18
3878578,191
3876328,593
3878836,1384
3878055,1644
3876112,2571
3872565,2618
3878737,2987
3881540,5162
3880246,5430
3873253,5431
3880583,5447
5847555,5479
3875792,5557
3875327,5558
3879466,6122
3877269,6124
3872720,6141
3880348,6152
3876935,6156
3879074,6158
3880689,6173
3872321,6188
3879378,6193
3879676,6204
3880988,6217
3872393,6228
3881915,6232
3872956,6240
3873683,7283
3874088,7298
3880915,7915
3879766,47
3875941,50
3881039,10227
3878391,396
3881389,1111
3872174,1155
3877013,1434
3874734,1479
3876496,1615
3872671,1665
3876965,1736
3878786,1778
5847947,1798
3879572,1801
3876177,1802
3877672,1819
3877018,1891
3877642,2091
3873576,2628
3877703,2729
3878292,2959
3872762,2966
3872355,2967
3875986,3646
3881815,16
3878408,36
3872391,204
3877771,262
3873573,382
3872750,402
3879401,506
3879313,526
3874770,528
3880773,529
3872665,539
3875086,908
3881419,978
3878676,989
3876890,1022
3878515,1036
3877961,790
3879956,1491
3881627,1629
3879389,1725
3875590,1743
3875763,1933
3878131,2109
3877737,2224
3877482,2339
3873413,2617
3875951,2799
3878589,2805
c(3879422, 5847220),2806
3875369,3035
3873746,3157
3872761,3242
3877907,3308
3872647,3329
3874631,3508
3880448,3712
3881025,3837
3875925,3843
3879007,3981
3876188,4085
3878843,4172
3881868,4331
3873528,4351
3880023,4437
3873724,4507
5847154,4597
3878196,4682
3872083,4728
3874863,4907
3876847,4913
3876899,4953
3880194,4968
3880823,5111
3881513,5204
3879853,5236
3876951,5245
3874344,5277
3881921,5289
3881516,5356
3877681,5424
3873917,5428
3873127,5432
3878224,5434
3880081,5510
3878655,5531
3874187,5598
3875002,5604
3877054,5682
3879660,5683
3881228,5684
3874933,5685
3878214,5686
3874054,5687
3873500,143471
3879925,5689
3876867,5690
3880630,5691
3874140,5692
3874289,5694
3880186,5695
3877722,5700
3880279,5701
3873668,5702
3879494,5705
3874183,5707
3878119,5708
3875784,5709
3872410,5713
5847072,5715
3872655,5717
3881589,5718
3875949,5719
3877233,5833
3881275,5888
3880678,5906
3877396,5976
3879663,5981
3879665,5983
3880018,6059
3877515,6117
3873481,6182
3881320,6390
3873266,6595
3878512,6627
3877457,6643
3880252,6675
3877954,6713
3876791,6729
5847822,6734
3881684,6811
3875384,6829
3876366,6908
3873974,10139
3872249,3930
3874180,7150
3875753,5611
3877588,7284
3876071,7322
3876094,7411
3872064,7514
3876191,7555
3877346,7874
3873634,8318
5847541,8402
3876953,8449
3878342,8454
3877232,8480
3879135,8504
3881356,8508
3872911,8518
3873462,8520
3872451,8544
3875379,8564
3874686,8565
3874635,8576
3872421,8615
3874887,8639
3872303,8661
3875676,8662
3879100,8663
3875011,8664
3877808,8665
3878823,8666
3872687,8668
3877439,8675
3881139,8678
3881467,401548
3873042,8775
3879462,8803
3878237,8813
3879657,8879
3877095,8881
3879576,8882
3875743,8893
3873450,8896
5847413,8905
3872929,8942
3875333,8943
3881797,9039
3877519,9040
3875410,8424
3881490,271
3880203,471
3881843,498
3880589,533
3878686,705
3872594,56267
3876910,1173
3878798,1175
3873508,1892
3878044,1965
3878839,2232
5847646,2237
3873438,4733
3877728,5576
5847357,6389
3876040,6470
3877475,6634
3877040,7453
3873618,9296
3881821,9343
3880920,9373
3874652,9487
3881830,9512
3874655,9567
