8187_GENEID,9606_GENEID
108872493,7105
108895387,64102
108877412,57147
108877411,55732
108897776,2268
108891100,2729
108903143,90529
108888567,90529
108903143,90529
108888567,90529
108891869,22875
108889982,6405
108893910,1080
108888720,54467
108875200,5893
108881560,26
108892099,51384
108901178,8379
108894808,3927
108892020,29916
108887332,4074
108893782,90293
108902785,56603
108880451,8837
108872449,55471
108875184,381
108888174,26073
108893660,84254
108890637,126393
108881089,4706
108895636,85413
108902064,170302
108893935,7982
108873233,996
108877613,799
108897075,1856
108883653,5976
108888248,55013
108877317,3207
108890708,5439
108893982,56919
108885159,4222
108901972,57019
108884167,56928
108881017,80256
108898545,51226
108888492,5577
108891027,5444
108891018,5444
108876885,6936
108878233,84058
108889589,54677
108889588,5244
108889165,30812
108886138,30812
108887566,25998
108888004,26224
108901244,26224
108892051,5164
108885401,51573
108886163,51573
108875084,9244
108877339,9244
108877667,9244
108898547,114881
108872759,26022
108879982,51087
108900811,9020
108875227,6833
108881081,10368
108877361,1750
108900002,5898
108879945,55971
108880785,55971
108886202,80853
108883214,2115
108893865,221
108878124,221
108896962,55001
108875231,10083
108889581,10926
108887391,3475
108902884,56891
108886672,56891
108876571,1352
108895021,27072
108886925,60528
108894950,79602
108901065,151531
108893662,57787
108876144,57787
108881197,115098
108890379,5048
108893295,5048
108893633,9058
108890375,9058
108873368,8522
108888395,79090
108881351,4145
108877773,5080
108890774,64285
108890891,64285
108902960,64285
108875594,55692
108903020,8938
108888605,9091
108873596,7005
108877420,6401
108877417,6401
108878928,6792
108882583,65220
108888890,7021
108888893,83741
108880771,9265
108879512,9265
108889579,53616
108888942,6856
108874257,1534
108898570,1534
108876907,51188
108877357,84954
108897551,4257
108897552,4257
108899601,4257
108899601,4257
108897551,4257
108897577,1407
108875411,1407
108879414,8993
108875820,4784
108898631,4784
108900349,6482
108875132,23542
108878492,23221
108882634,7812
108900515,5081
108876445,80342
108892589,29954
108882233,51534
108884764,10048
108879083,51603
108901839,8798
108875830,7756
108880351,7756
108884774,83930
108895889,928
108875178,928
108881714,57467
108883917,57467
108887344,9918
108886969,25900
108887351,25900
108891709,56920
108889790,11188
108883063,6540
108878945,3423
108888878,5646
108895374,695
108898509,22955
108875026,2534
108899306,2534
108898858,11313
108897574,10867
108875453,10867
108892438,55727
108877450,9546
108876279,51099
108900374,51099
108896809,3730
108901607,3730
108887182,26993
108891038,54799
108876809,54799
108877597,54476
108884935,54902
108886858,9066
108889663,23395
108879240,23637
108879240,2844
108889260,1634
108876206,5536
108895339,23177
108893896,2556
108898747,672
108880456,2067
108885097,51360
108875375,9971
108891101,60481
108885976,57658
108890062,55148
108886694,11183
108896824,30845
108899577,5704
108902497,23324
108885003,5010
108875076,5010
108891450,51667
108891904,51667
108896786,5238
108875418,55703
108880118,9604
108893421,9604
108887523,1774
108899607,1774
108887404,1774
108899607,1774
108887404,1774
108875144,1663
108877586,9052
108899036,923
108899096,23649
108879594,23144
108873238,4190
108882538,4190
108895349,10463
108899563,10903
108888303,1355
108888927,10138
108888558,10138
108880934,10771
108889703,1800
108885389,9782
108878225,29881
108881037,64132
108895829,81551
108894318,81551
108895366,23386
108898554,3670
108889413,55830
108882166,92745
108884234,10928
108891346,22902
108882981,8540
108901914,63932
108884323,477
108895771,55622
108897151,8685
108873562,1591
108872506,56981
108899252,972
108879648,3082
108897299,54764
108878665,25960
108892563,4331
108887764,23034
108891926,58473
108879602,1992
108877940,64816
108896255,64816
108877049,11136
108875345,114879
108883845,732
108872525,2273
108893210,2273
108902115,51507
108893429,2554
108892247,57210
108878253,9921
108891602,55778
108901703,64429
108892916,4719
108883370,9821
108889605,23071
108900180,211
108891056,211
108893387,330
108888987,6617
108901637,6617
108901637,6617
108888987,6617
108897554,51071
108897536,11171
108876547,50619
108889936,51177
108886331,30846
108876131,30846
108879554,55635
108873013,25901
108899507,58528
108899341,3298
108887816,10062
108901402,1890
108882415,29781
108883291,7431
108897286,355
108877836,8635
108894942,3755
108894555,56895
108892580,5583
108895270,3459
108889683,11285
108895749,7444
108886072,7444
108891763,65980
108896872,9519
108875333,56938
108878191,286
108897992,51106
108874240,3149
108880438,22807
108877701,2896
108892040,2896
108882680,6301
108884193,8498
108885385,10908
108888581,56052
108878103,55596
108895025,54480
108876202,9846
108887872,8554
108886534,8554
108876729,321
108889650,321
108897794,28990
108883840,4653
108879158,4653
108879216,84908
108901713,7414
108887871,55789
108894175,23604
108902662,7077
108876197,7077
108878881,55773
108883529,8452
108886600,8452
108877805,9172
108898059,10858
108884265,26009
108888168,9099
108893522,846
108886500,54455
108875659,84245
108898967,4234
108876413,3224
108885184,175
108873651,27430
108874026,23517
108877744,79567
108884603,79567
108901113,729
108879276,26064
108887715,23035
108895527,54908
108900681,1497
108879997,79142
108901141,5874
108901139,5874
108901139,5874
108889464,5874
108889464,5874
