GENEID_9545,GENEID_9606
105499295,7105
105499290,64102
105470677,8813
105493035,57147
105493036,55732
105494540,2268
105484651,3075
105465756,2519
105490843,2729
105489641,4800
105494447,90529
105494450,57185
105476701,81887
105489521,22875
105480471,6405
105475504,1080
105475489,54467
105475493,1595
105475490,889
105484098,5893
105469512,572
105487885,51056
105478065,4267
105487944,9957
105474898,26
105475297,51384
105494192,23072
105483405,8379
105472269,3927
105472311,29916
105474896,55365
105499883,4074
105468375,90293
105465250,56603
105475578,3382
105488883,79007
105468090,57679
105468106,843
105468108,8837
105468250,7035
105464849,55471
105480469,10181
105463740,9108
105463735,6542
105474776,381
105476137,23098
105476178,26073
105477767,23129
105494658,204
105487906,952
105484123,2288
105494413,23028
105480467,10180
105472037,84254
105469866,5965
105475512,55610
105495500,126393
105495498,115703
105485022,4706
105475540,5166
105492069,85413
105480487,51364
105475664,340273
105478246,170302
105475544,10165
105475562,7982
105483066,996
105469100,6521
105475513,799
105478114,3052
105473235,1856
105485314,5976
105475739,8935
105486265,55013
105475756,3207
105469504,4222
105475597,221981
105485152,3980
105470067,79657
105484988,6296
105484986,81691
105494024,57019
105485717,80256
105472304,51226
105475318,5577
105478120,10943
105467854,1387
105476819,9256
105476815,4353
105475535,5444
105475536,5444
105465323,6936
105465292,84058
105475441,54677
105475450,5244
105475442,5244
105475332,55904
105496741,57414
105485878,30812
105495711,25998
105482978,7748
105481778,23077
105481730,26224
105472365,5164
105472360,3675
105478239,7543
105468414,3920
105469039,3674
105475538,51666
105484970,51573
105486042,55049
105485980,9244
105472292,114881
105485179,26022
105473337,51087
105472165,3883
105468661,9020
105486959,6833
105485030,10368
105464647,54972
105485130,163
105475561,6863
105467871,10127
105472385,64847
105472389,8913
105475550,1750
105494312,4293
105497757,5898
105497768,55971
105471286,80853
105475610,2115
105471269,55750
105495115,55001
105475369,57157
105473764,9855
105486961,10083
105475810,79017
105475444,10926
105475266,3475
105495357,56891
105473529,1352
105495370,54623
105497763,27072
105473539,60528
105475607,85477
105478097,8228
105473722,8735
105484107,79602
105467141,51265
105493207,151531
105467907,10942
105478541,57787
105487901,8842
105489248,115098
105471766,5048
105473558,1770
105476245,9703
105476189,9058
105473574,8522
105478537,79090
105485422,4145
105495286,1087
105468989,974
105468992,6329
105479183,54879
105467947,8277
105471502,5080
105485883,113000
105485933,64285
105485953,55692
105480493,9254
105485856,8938
105485857,115939
105485910,9091
105485846,57585
105493033,6401
105479482,55735
105484398,2328
105482480,29116
105499300,27035
105494424,1870
105487625,5689
105463904,6853
105482474,3720
105478188,6792
105484899,57172
105498335,728642
105496720,65220
105490880,7021
105490881,83741
105480195,9940
105497921,9265
105475451,53616
105475326,6856
105483047,1534
105472399,9043
105480415,1951
105475252,10157
105484175,55200
105480271,51188
105487154,84954
105481596,4257
105497679,1407
105478567,8993
105464278,4784
105492840,6482
105467888,64386
105489737,23542
105472230,9862
105498354,9862
105482066,23221
105465413,54497
105465971,7095
105482276,6224
105479147,7812
105492089,5980
105468440,10178
105483129,5081
105473143,10747
105489031,389434
105494545,199870
105484902,80342
105495846,29954
105465742,51534
105496729,9031
105482450,10048
105474521,51513
105499173,83932
105484414,51603
105484155,8798
105485190,7756
105480413,7384
105497772,83930
105480280,57467
105484183,9918
105484186,25900
105480545,51533
105480546,56920
105480548,11188
105480550,23166
105497181,80199
105463805,6540
105485062,3423
105471241,5646
105467875,7752
105484203,920
105484212,10233
105499313,695
105482576,3077
105494828,22955
105492092,2534
105465749,3097
105484403,2326
105494428,6924
105494430,11313
105473165,1185
105483057,9902
105472400,654364
105472401,654364
105466871,6534
105484133,10867
105485464,9546
105476818,54903
105480298,51099
105478101,3730
105495506,26993
105472403,54799
105472402,51096
105497363,54476
105491086,54902
105486475,5725
105495416,8193
105469415,9066
105480334,23395
105486951,5286
105463844,5329
105475869,54443
105495151,58525
105463889,2844
105463889,23637
105483740,1634
105478578,5536
105465155,23177
105464888,8491
105495509,27033
105495491,7305
105495877,2556
105472075,672
105478545,2067
105495532,933
105480475,7869
105478216,51360
105493926,4007
105480356,4057
105481991,2137
105493847,9971
105490845,60481
105486634,240
105474260,57658
105467523,55148
105481838,11183
105479698,30845
105495351,5704
105483943,23324
105465811,57709
105465815,5010
105469056,51629
105482902,9961
105474919,51667
105495768,5238
105495747,112611
105468117,1195
105497691,55703
105495861,23357
105466968,9604
105467952,1774
105499892,1663
105482078,50865
105482090,9052
105495896,10046
105464649,923
105483837,10460
105498566,23376
105488446,23144
105469562,823
105490428,55
105465129,4190
105487707,10463
105497794,10903
105478412,1355
105467551,440193
105470127,10138
105490820,10771
105493902,7454
105488863,1800
105480751,637
105467067,9782
105494216,29881
105472374,64132
105482019,81551
105494215,23386
105499351,3670
105480576,55349
105465683,53832
105482780,1179
105482784,22802
105480553,55830
105490383,27032
105493817,3479
105493891,92745
105478887,10928
105477391,22902
105470139,1272
105463670,25937
105483174,8540
105468553,63932
105498164,477
105464813,55622
105488128,147948
105476284,23584
105476399,23187
105492495,8685
105470644,1591
105471631,56981
105471634,57586
105495674,6591
105466867,972
105475398,3082
105470296,54764
105494699,23154
105476579,25960
105470663,55734
105473658,4331
105481794,23034
105494458,864
105484335,4361
105468720,58473
105487310,1992
105497367,64816
105479905,6683
105495829,9369
105469759,114879
105492879,9716
105481139,1373
105495134,732
105481378,2273
105470625,51507
105480799,2554
105497309,55655
105488395,57210
105467386,55778
105466881,64429
105476321,57476
105494132,6050
105468281,4719
105463388,9821
105480966,23071
105480532,211
105493721,330
105491725,11215
105484636,51022
105473671,6617
105481566,51071
105481604,11171
105478408,1244
105474497,50619
105497796,51177
105485409,2730
105489603,23304
105498351,55635
105465713,25901
105496426,58528
105465526,3298
105496282,51230
105474127,8630
105471680,10062
105489744,1890
105489748,29781
105496421,10953
105478754,11231
105488219,7431
105480710,355
105487560,8635
105471557,960
105470674,3755
105487511,56895
105498186,57823
105482606,11119
105490254,4285
105473667,5583
105498075,3645
105465687,3459
105484039,11285
105498074,9047
105465080,7444
105473177,7133
105483677,55591
105495271,5452
105464576,65980
105488745,6642
105465643,9519
105492166,56938
105465670,9774
105472897,55334
105476533,286
105479650,3381
105478721,51106
105472584,9135
105495891,3149
105471702,23279
105474465,578
105481110,4593
105481149,22807
105469047,2896
105467092,51306
105470344,57514
105490897,55166
105484794,8498
105473622,5926
105497572,7260
105484447,10908
105490297,8100
105467821,56052
105494319,55596
105474914,10061
105474915,54480
105498361,57554
105473712,2530
105463604,55236
105468810,9846
105488018,8554
105488948,9497
105497507,321
105493311,5606
105495677,79645
105465366,9168
105476058,25897
105465758,8504
105491261,11345
105484409,4653
105497543,26751
105465219,84908
105466004,7414
105499435,55789
105488766,23604
105482245,8439
105474685,159
105463602,26228
105487733,5981
105477472,55773
105481321,8452
105491891,9172
105499790,5009
105467428,10858
105482679,26009
105482119,6570
105476365,9099
105470290,846
105472109,27175
105480884,51121
105483981,2324
105489466,54888
105473230,54455
105482404,4238
105499560,84245
105474076,4234
105474234,3224
105466628,175
105487833,55300
105487928,259282
105480816,27430
105466716,7092
105491402,23644
105475040,1462
105467772,23274
105463752,4481
105491370,999
105499390,23517
105492325,1767
105475073,9765
105491418,79567
105487447,729
105473053,26064
105482365,11063
105497178,11284
105466362,54831
105491314,23035
105480838,54908
105483581,27067
